Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2019-01-11,19.9,20.32,18.9,19.05,19.025,-0.85,78769.0,39.0,50761.0
2019-01-14,19.1,20.4,18.85,19.25,19.225,0.2,75706.0,0.0,35371.0
2019-01-15,19.25,19.35,18.11,18.9,18.825,-0.4,73739.0,225.0,25620.0
2019-01-16,18.8,19.15,18.3,18.85,19.025,0.2,102834.0,0.0,181503.0
2019-01-17,18.9,19.35,18.45,18.6,18.525,-0.5,106208.0,349.0,167333.0
2019-01-18,18.55,18.71,17.9,18.25,18.325,-0.2,103730.0,255.0,158701.0
2019-01-22,18.25,20.3,18.25,20.04,20.175,1.85,163548.0,181.0,150615.0
2019-01-23,20.05,21.15,19.5,19.75,19.725,-0.45,133575.0,197.0,142652.0
2019-01-24,19.85,20.15,19.05,19.25,19.175,-0.55,90769.0,109.0,134929.0
2019-01-25,19.2,19.25,18.2,18.2,18.275,-0.9,92584.0,743.0,134820.0
2019-01-28,18.35,19.92,18.25,19.15,19.125,0.85,110475.0,349.0,130182.0
2019-01-29,19.15,19.55,18.7,18.85,18.925,-0.2,95717.0,0.0,121855.0
2019-01-30,18.85,19.25,17.95,17.95,17.975,-0.95,96992.0,0.0,115646.0
2019-01-31,17.95,18.1,17.0,17.1,17.125,-0.85,100102.0,754.0,113341.0
2019-02-01,17.15,17.5,16.95,17.0,17.025,-0.1,98820.0,5031.0,105768.0
2019-02-04,17.05,17.15,16.45,16.55,16.525,-0.5,72441.0,1443.0,95584.0
2019-02-05,16.6,16.75,15.95,16.55,16.525,0.0,75169.0,762.0,83151.0
2019-02-06,16.5,16.72,16.07,16.35,16.375,-0.15,65964.0,752.0,75633.0
2019-02-07,16.35,18.0,16.33,17.23,17.175,0.8,113788.0,304.0,67888.0
2019-02-08,17.25,17.75,16.57,16.65,16.625,-0.55,87861.0,0.0,56444.0
2019-02-11,16.7,17.0,16.05,16.3,16.225,-0.4,66246.0,105.0,47305.0
2019-02-12,16.35,16.36,15.4,15.74,15.625,-0.6,70980.0,69.0,35657.0
2019-02-13,16.75,16.85,16.45,16.7,16.675,-0.05,80867.0,0.0,164557.0
2019-02-14,16.75,17.35,16.58,17.0,16.925,0.25,118721.0,2184.0,166818.0
2019-02-15,16.95,17.45,16.25,16.35,16.325,-0.6,109228.0,4863.0,169297.0
2019-02-19,16.3,16.75,16.15,16.33,16.325,0.0,78859.0,240.0,170854.0
2019-02-20,16.35,16.56,15.5,15.52,15.575,-0.75,103028.0,1000.0,177078.0
2019-02-21,15.5,16.17,15.4,15.9,15.875,0.3,101307.0,623.0,168888.0
2019-02-22,15.9,16.0,15.14,15.15,15.175,-0.7,76545.0,512.0,162786.0
2019-02-25,15.15,15.65,14.7,15.62,15.575,0.4,96355.0,356.0,162108.0
2019-02-26,15.6,15.98,15.4,15.85,15.725,0.15,75435.0,0.0,160687.0
2019-02-27,15.82,16.4,15.56,15.6,15.675,-0.05,99791.0,35.0,151386.0
2019-02-28,15.65,16.0,15.3,15.65,15.575,-0.1,87148.0,14.0,142092.0
2019-03-01,15.65,15.7,14.8,14.87,14.825,-0.75,84402.0,167.0,140345.0
2019-03-04,14.75,16.46,14.45,15.35,15.275,0.45,178561.0,0.0,131293.0
2019-03-05,15.4,15.8,15.2,15.56,15.475,0.2,92801.0,56.0,123613.0
2019-03-06,15.55,16.22,15.43,16.1,16.075,0.6,103939.0,35.0,117288.0
2019-03-07,16.15,17.3,16.01,16.75,16.725,0.65,168916.0,480.0,103605.0
2019-03-08,16.75,17.9,16.55,16.75,16.675,-0.05,141330.0,776.0,93826.0
2019-03-11,16.8,16.96,14.95,15.05,15.025,-1.65,116237.0,27.0,89088.0
2019-03-12,15.05,15.25,14.35,14.42,14.475,-0.55,93795.0,0.0,86881.0
2019-03-13,14.45,14.85,14.0,14.05,14.075,-0.4,81097.0,157.0,78399.0
2019-03-14,14.07,14.31,13.75,13.92,13.925,-0.15,77012.0,205.0,62532.0
2019-03-15,13.92,13.95,13.25,13.52,13.475,-0.45,77332.0,188.0,50798.0
2019-03-18,13.5,13.85,12.9,12.95,12.925,-0.55,66067.0,0.0,43860.0
2019-03-19,15.0,15.4,14.75,15.05,15.125,0.1,133050.0,380.0,223848.0
2019-03-20,15.1,15.55,14.8,15.5,15.325,0.2,126594.0,1266.0,211651.0
2019-03-21,15.45,15.65,14.9,15.07,15.075,-0.25,107946.0,0.0,217817.0
2019-03-22,15.08,17.1,15.05,16.8,16.725,1.65,256513.0,2063.0,193525.0
2019-03-25,16.65,17.5,16.5,16.81,16.825,0.1,162187.0,1263.0,182685.0
2019-03-26,16.8,16.8,15.85,15.85,15.925,-0.9,118187.0,98.0,175187.0
2019-03-27,15.9,17.0,15.75,16.3,16.225,0.3,130104.0,0.0,171645.0
2019-03-28,16.3,16.6,15.58,15.62,15.625,-0.6,86712.0,40.0,167919.0
2019-03-29,15.6,15.75,15.05,15.3,15.225,-0.4,102963.0,20.0,162342.0
2019-04-01,15.2,15.2,14.85,14.96,14.875,-0.35,96720.0,2978.0,156451.0
2019-04-02,15.0,15.2,14.75,14.85,14.875,0.0,77297.0,578.0,152656.0
2019-04-03,14.85,15.35,14.45,14.92,14.875,0.0,106463.0,1790.0,137698.0
2019-04-04,14.9,15.2,14.7,14.85,14.775,-0.1,79428.0,0.0,131482.0
2019-04-05,14.8,14.89,14.3,14.35,14.325,-0.45,66469.0,922.0,121467.0
2019-04-08,14.35,14.7,14.27,14.33,14.475,0.15,87548.0,699.0,113547.0
2019-04-09,14.35,15.15,14.35,15.15,15.075,0.6,83139.0,60.0,102361.0
2019-04-10,15.1,15.21,14.3,14.45,14.425,-0.65,77790.0,60.0,91687.0
2019-04-11,14.4,14.6,13.75,13.75,13.825,-0.6,100864.0,378.0,78427.0
2019-04-12,13.77,13.9,12.75,12.85,12.775,-1.05,102084.0,213.0,68882.0
2019-04-15,12.85,13.41,12.55,12.63,12.575,-0.2,91186.0,479.0,50245.0
2019-04-16,12.65,12.75,12.25,12.5,12.575,0.0,84537.0,0.0,39829.0
2019-04-17,14.6,14.92,14.25,14.62,14.625,0.0,99539.0,1000.0,267117.0
2019-04-18,14.65,15.1,14.35,14.5,14.425,-0.2,91648.0,0.0,266209.0
2019-04-22,14.45,14.75,14.15,14.15,14.175,-0.25,65968.0,48.0,264342.0
2019-04-23,14.2,14.4,14.05,14.15,14.125,-0.05,73362.0,0.0,242926.0
2019-04-24,14.15,14.65,14.13,14.6,14.575,0.45,99083.0,0.0,242045.0
2019-04-25,14.6,15.35,14.45,14.9,14.825,0.25,123869.0,105.0,220651.0
2019-04-26,14.9,15.0,14.2,14.4,14.325,-0.5,97367.0,99.0,223978.0
2019-04-29,14.35,14.6,14.2,14.5,14.525,0.2,74194.0,328.0,211351.0
2019-04-30,14.55,14.98,14.35,14.4,14.425,-0.1,87856.0,127.0,206922.0
2019-05-01,14.37,15.47,14.2,15.38,15.225,0.8,108135.0,99.0,195157.0
2019-05-02,15.35,15.91,14.7,15.1,15.175,-0.05,163763.0,1373.0,181381.0
2019-05-03,15.1,15.15,14.2,14.25,14.275,-0.9,114300.0,100.0,171103.0
2019-05-06,15.2,16.8,15.05,16.19,15.525,1.25,226055.0,1105.0,155167.0
2019-05-07,16.15,19.2,15.45,17.9,17.875,2.35,358021.0,3473.0,150185.0
